기준일,티커
2019-06-14,005930
2019-06-14,000660
2019-06-14,005380
2019-06-14,068270
2019-06-14,051910
2019-06-14,055550
2019-06-14,012330
2019-06-14,017670
2019-06-14,005490
2019-06-14,207940
2019-06-14,051900
2019-06-14,105560
2019-06-14,035420
2019-06-14,028260
2019-06-14,000270
2019-06-14,032830
2019-06-14,034730
2019-06-14,018260
2019-06-14,015760
2019-06-14,006400
2019-06-14,096770
2019-06-14,033780
2019-06-14,003550
2019-06-14,066570
2019-06-14,000810
2019-06-14,086790
2019-06-14,251270
2019-06-14,035720
2019-06-14,036570
2019-06-14,090430
2019-06-14,316140
2019-06-14,010950
2019-06-14,010130
2019-06-14,009540
2019-06-14,011170
2019-06-14,024110
2019-06-14,030200
2019-06-14,009150
2019-06-14,035250
2019-06-14,032640
2019-06-14,018880
2019-06-14,000720
2019-06-14,086280
2019-06-14,034220
2019-06-14,021240
2019-06-14,004020
2019-06-14,006800
2019-06-14,267250
2019-06-14,081660
2019-06-14,010140
2019-06-14,002790
2019-06-14,128940
2019-06-14,078930
2019-06-14,004990
2019-06-14,161390
2019-06-14,023530
2019-06-14,008930
2019-06-14,005830
2019-06-14,097950
2019-06-14,029780
2019-06-14,071050
2019-06-14,000210
2019-06-14,139480
2019-06-14,036460
2019-06-14,005940
2019-06-14,012750
2019-06-14,008770
2019-06-14,000120
2019-06-14,042660
2019-06-14,282330
2019-06-14,241560
2019-06-14,271560
2019-06-14,047810
2019-06-14,006360
2019-06-14,028050
2019-06-14,009830
2019-06-14,003410
2019-06-14,030000
2019-06-14,016360
2019-06-14,008560
2019-06-14,000100
2019-06-14,011780
2019-06-14,003490
2019-06-14,004170
2019-06-14,001040
2019-06-14,002380
2019-06-14,001450
2019-06-14,088350
2019-06-14,007070
2019-06-14,017800
2019-06-14,007310
2019-06-14,138930
2019-06-14,028670
2019-06-14,011070
2019-06-14,010060
2019-06-14,047050
2019-06-14,000880
2019-06-14,294870
2019-06-14,047040
2019-06-14,010620
2019-06-14,069960
2019-06-14,026960
2019-06-14,000150
2019-06-14,009240
2019-06-14,111770
2019-06-14,069620
2019-06-14,064350
2019-06-14,020150
2019-06-14,012450
2019-06-14,000080
2019-06-14,000240
2019-06-14,031430
2019-06-14,004800
2019-06-14,006260
2019-06-14,004370
2019-06-14,003240
2019-06-14,005300
2019-06-14,006280
2019-06-14,009420
2019-06-14,161890
2019-06-14,011790
2019-06-14,042670
2019-06-14,051600
2019-06-14,010120
2019-06-14,000670
2019-06-14,003000
2019-06-14,004000
2019-06-14,214320
2019-06-14,034020
2019-06-14,114090
2019-06-14,204320
2019-06-14,005440
2019-06-14,001740
2019-06-14,057050
2019-06-14,011210
2019-06-14,010780
2019-06-14,001800
2019-06-14,005250
2019-06-14,005850
2019-06-14,014820
2019-06-14,018250
2019-06-14,192820
2019-06-14,071840
2019-06-14,073240
2019-06-14,120110
2019-06-14,192400
2019-06-14,049770
2019-06-14,001680
2019-06-14,002350
2019-06-14,003520
2019-06-14,008060
2019-06-14,185750
2019-06-14,014680
2019-06-14,020000
2019-06-14,105630
2019-06-14,012630
2019-06-14,005610
2019-06-14,006650
2019-06-14,170900
2019-06-14,069260
2019-06-14,115390
2019-06-14,052690
2019-06-14,000990
2019-06-14,001060
2019-06-14,005180
2019-06-14,025540
2019-06-14,285130
2019-06-14,079160
2019-06-14,079550
2019-06-14,093370
2019-06-14,103140
2019-06-14,027410
2019-06-14,000070
2019-06-14,000640
2019-06-14,001120
2019-06-14,001230
2019-06-14,001430
2019-06-14,002270
2019-06-14,145990
2019-06-14,004490
2019-06-14,006390
2019-06-14,006840
2019-06-14,019680
2019-06-14,064960
2019-06-14,093050
2019-06-14,003620
2019-06-14,002240
2019-06-14,002960
2019-06-14,003850
2019-06-14,006120
2019-06-14,108670
2019-06-14,014830
2019-06-14,025860
2019-06-14,060980
2019-06-14,007570
2019-06-14,001520
2019-06-14,003920
2019-06-14,298040
2019-06-14,096760
2019-06-14,079430
2019-12-13,005930
2019-12-13,000660
2019-12-13,035420
2019-12-13,207940
2019-12-13,005380
2019-12-13,012330
2019-12-13,068270
2019-12-13,055550
2019-12-13,051910
2019-12-13,005490
2019-12-13,105560
2019-12-13,028260
2019-12-13,051900
2019-12-13,017670
2019-12-13,034730
2019-12-13,000270
2019-12-13,015760
2019-12-13,006400
2019-12-13,018260
2019-12-13,032830
2019-12-13,096770
2019-12-13,033780
2019-12-13,035720
2019-12-13,003550
2019-12-13,000810
2019-12-13,066570
2019-12-13,036570
2019-12-13,086790
2019-12-13,090430
2019-12-13,010950
2019-12-13,009150
2019-12-13,009540
2019-12-13,316140
2019-12-13,010130
2019-12-13,251270
2019-12-13,011170
2019-12-13,024110
2019-12-13,030200
2019-12-13,002790
2019-12-13,035250
2019-12-13,021240
2019-12-13,032640
2019-12-13,018880
2019-12-13,034220
2019-12-13,267250
2019-12-13,086280
2019-12-13,006800
2019-12-13,000720
2019-12-13,078930
2019-12-13,029780
2019-12-13,010140
2019-12-13,271560
2019-12-13,004020
2019-12-13,161390
2019-12-13,005830
2019-12-13,071050
2019-12-13,028050
2019-12-13,004990
2019-12-13,097950
2019-12-13,023530
2019-12-13,005940
2019-12-13,139480
2019-12-13,012750
2019-12-13,036460
2019-12-13,000120
2019-12-13,008770
2019-12-13,016360
2019-12-13,241560
2019-12-13,128940
2019-12-13,047810
2019-12-13,081660
2019-12-13,011070
2019-12-13,000210
2019-12-13,000100
2019-12-13,042660
2019-12-13,009830
2019-12-13,003410
2019-12-13,030000
2019-12-13,007070
2019-12-13,004170
2019-12-13,282330
2019-12-13,001040
2019-12-13,003490
2019-12-13,001450
2019-12-13,138930
2019-12-13,006360
2019-12-13,002380
2019-12-13,008560
2019-12-13,047050
2019-12-13,011780
2019-12-13,028670
2019-12-13,008930
2019-12-13,088350
2019-12-13,007310
2019-12-13,069960
2019-12-13,047040
2019-12-13,000080
2019-12-13,000880
2019-12-13,009420
2019-12-13,020150
2019-12-13,012450
2019-12-13,017800
2019-12-13,010620
2019-12-13,004800
2019-12-13,051600
2019-12-13,026960
2019-12-13,011790
2019-12-13,204320
2019-12-13,010120
2019-12-13,001740
2019-12-13,006260
2019-12-13,006280
2019-12-13,111770
2019-12-13,010060
2019-12-13,031430
2019-12-13,069620
2019-12-13,009240
2019-12-13,004370
2019-12-13,214320
2019-12-13,011210
2019-12-13,000240
2019-12-13,064350
2019-12-13,120110
2019-12-13,114090
2019-12-13,073240
2019-12-13,000150
2019-12-13,000670
2019-12-13,003240
2019-12-13,003520
2019-12-13,004000
