scan_date,ticker,name,market,sector,close,atr20,atr_pct,high20,high20_next,low10,gap,gap_atr,dist_to_break,dist_atr,vol_mult,unit_shares,value_avg_20,status
20260911,488280,에스투더블유,KOSDAQ,IT 서비스,14850,986,6.64,11830,15250,9120,3020,3.063,-3020,-3.063,26.32,507,3894924238,돌파
20260911,356680,엑스게이트,KOSDAQ,IT 서비스,16060,1189,7.4,13450,16060,10630,2610,2.195,-2610,-2.195,15.65,420,21554350649,돌파
20260911,203650,드림시큐리티,KOSDAQ,IT 서비스,2620,160,6.11,2290,2725,1960,330,2.062,-330,-2.062,61.48,3125,8364701176,돌파
20260911,001820,삼화콘덴서,KOSPI,전기전자,137400,12071,8.79,123000,147500,103000,14400,1.193,-14400,-1.193,4.69,41,96460138470,돌파
20260911,098120,마이크로컨텍솔,KOSDAQ,전기전자,55800,3404,6.1,52000,56500,37500,3800,1.116,-3800,-1.116,1.22,146,10757822150,돌파
20260911,294870,IPARK현대산업개발,KOSPI,건설,24850,841,3.38,23950,24950,22350,900,1.07,-900,-1.07,1.88,594,3247152932,돌파
20260911,217820,원익피앤이,KOSDAQ,기계·장비,2820,168,5.96,2645,3300,1893,175,1.042,-175,-1.042,47.16,2976,2050364022,돌파
20260911,411080,샌즈랩,KOSDAQ,IT 서비스,5510,379,6.88,5170,5510,3970,340,0.897,-340,-0.897,11.16,1319,1078745889,돌파
20260911,012630,HDC,KOSPI,금융,28450,1317,4.63,27350,29150,21700,1100,0.835,-1100,-0.835,3.92,379,2094946878,돌파
20260911,007540,샘표,KOSPI,금융,57500,2465,4.29,55700,72400,42500,1800,0.73,-1800,-0.73,208.82,202,2988258850,돌파
20260911,005440,현대지에프홀딩스,KOSPI,금융,13400,588,4.39,13050,13530,11600,350,0.595,-350,-0.595,1.96,850,2595780642,돌파
20260911,437730,삼현,KOSDAQ,운송장비·부품,42300,3088,7.3,40600,42950,29000,1700,0.551,-1700,-0.551,3.86,161,7341363085,돌파
20260911,443060,HD현대마린솔루션,KOSPI,일반서비스,247000,12858,5.21,240000,254000,198500,7000,0.544,-7000,-0.544,3.78,38,23322505500,돌파
20260911,336370,솔루스첨단소재,KOSPI,전기전자,8510,557,6.55,8210,8980,7100,300,0.539,-300,-0.539,14.95,897,1118966393,돌파
20260911,375500,DL이앤씨,KOSPI,건설,85800,4370,5.09,84000,86400,68600,1800,0.412,-1800,-0.412,1.8,114,29211424080,돌파
20260911,065170,비엘팜텍,KOSDAQ,유통,2720,313,11.51,2595,2720,1880,125,0.399,-125,-0.399,3.59,1597,2294818356,돌파
20260911,0011A0,액스비스,KOSDAQ,전기전자,13100,1064,8.12,12860,14840,7700,240,0.226,-240,-0.226,21.79,469,11088444722,돌파
20260911,000150,두산,KOSPI,전기전자,1356000,101820,7.51,1334000,1385000,1091000,22000,0.216,-22000,-0.216,1.49,4,81289257550,돌파
20260911,112610,씨에스윈드,KOSPI,금속,52800,3010,5.7,52200,54000,44950,600,0.199,-600,-0.199,1.83,166,16323140250,돌파
20260911,046970,우리로,KOSDAQ,유통,7190,589,8.19,7090,8370,4585,100,0.17,-100,-0.17,14.66,848,17715616758,돌파
20260911,204270,제이앤티씨,KOSDAQ,전기전자,22950,1643,7.16,22750,23850,18010,200,0.122,-200,-0.122,1.88,304,13884564009,돌파
20260911,149950,아바텍,KOSDAQ,전기전자,10330,761,7.37,10250,10500,8630,80,0.105,-80,-0.105,9.16,657,998542880,돌파
20260911,059090,미코,KOSDAQ,전기전자,20600,1413,6.86,20500,20850,17070,100,0.071,-100,-0.071,2.36,353,4903616870,돌파
20260911,073010,케이에스피,KOSDAQ,기계·장비,3570,225,6.3,3555,3780,2670,15,0.067,-15,-0.067,5.53,2222,1781231750,돌파
20260911,000520,삼일제약,KOSPI,제약,7200,378,5.25,7180,7430,5960,20,0.053,-20,-0.053,3.12,1322,686736542,돌파
20260911,306200,세아제강,KOSPI,금속,150600,6412,4.26,150300,150600,135300,300,0.047,-300,-0.047,2.19,77,1228007445,돌파
20260911,001120,LX인터내셔널,KOSPI,유통,40900,1487,3.64,40850,41200,37350,50,0.034,-50,-0.034,0.83,336,2852952368,돌파
20260911,003850,보령,KOSPI,제약,9280,295,3.18,9270,9360,8660,10,0.034,-10,-0.034,2.17,1694,848826894,돌파
20260911,452260,한화갤러리아,KOSPI,유통,2680,156,5.82,2675,2720,1964,5,0.032,-5,-0.032,1.34,3205,3631271901,돌파
20260911,115500,케이씨에스,KOSDAQ,IT 서비스,9950,683,6.86,9930,10720,8400,20,0.029,-20,-0.029,28.82,732,1637469576,돌파
20260911,003350,한국화장품제조,KOSPI,화학,15710,1160,7.38,15690,16920,12260,20,0.017,-20,-0.017,6.46,431,30597057912,돌파
20260911,224060,더코디,KOSDAQ,전기전자,9890,751,7.59,9890,12750,3430,0,0.0,0,-0.0,22.47,665,2331914657,임박
20260911,094800,맵스리얼티,KOSPI,미분류,7280,219,3.01,7290,7290,7040,-10,-0.046,10,0.046,1.19,2283,678255364,임박
20260911,052690,한전기술,KOSPI,일반서비스,152000,9755,6.42,152500,154100,103100,-500,-0.051,500,0.051,2.12,51,78669373550,임박
20260911,017940,E1,KOSPI,유통,99400,3109,3.13,99600,99800,95600,-200,-0.064,200,0.064,1.15,160,864419740,임박
20260911,459510,나우로보틱스,KOSDAQ,기계·장비,17820,1214,6.81,17900,17940,13350,-80,-0.066,80,0.066,11.77,411,1635914814,임박
20260911,443670,에스피소프트,KOSDAQ,IT 서비스,4725,358,7.58,4755,4755,2940,-30,-0.084,30,0.084,4.96,1396,10361079208,임박
20260911,064290,인텍플러스,KOSDAQ,기계·장비,48850,4140,8.47,49300,50200,30250,-450,-0.109,450,0.109,0.92,120,13740629632,임박
20260911,216080,제테마,KOSDAQ,제약,6660,439,6.59,6710,6860,4550,-50,-0.114,50,0.114,0.55,1138,1916686363,임박
20260911,001230,동국홀딩스,KOSPI,금융,2075,113,5.45,2090,2090,1930,-15,-0.133,15,0.133,0.6,4424,790480794,임박
20260911,013030,하이록코리아,KOSDAQ,금속,34550,1298,3.76,34750,35000,32550,-200,-0.154,200,0.154,1.04,385,997651632,임박
20260911,138930,BNK금융지주,KOSPI,금융,15930,603,3.79,16030,16230,14770,-100,-0.166,100,0.166,1.28,829,14770860655,임박
20260911,327260,RF머트리얼즈,KOSDAQ,전기전자,43600,5318,12.2,44500,44800,32350,-900,-0.169,900,0.169,1.39,94,29635849332,임박
20260911,008350,남선알미늄,KOSPI,금속,1069,49,4.58,1078,1138,1023,-9,-0.184,9,0.184,1.89,10204,1007387849,임박
20260911,006360,GS건설,KOSPI,건설,38500,2642,6.86,39000,39350,31450,-500,-0.189,500,0.189,1.6,189,76107183948,임박
20260911,052710,아모텍,KOSDAQ,전기전자,15130,1597,10.56,15440,15130,10300,-310,-0.194,310,0.194,9.55,313,6139415362,임박
20260911,016610,DB증권,KOSPI,증권,10120,348,3.44,10190,10200,9650,-70,-0.201,70,0.201,0.66,1436,553436290,임박
20260911,261780,아리바이오랩,KOSDAQ,일반서비스,3650,290,7.95,3710,3800,2415,-60,-0.207,60,0.207,2.58,1724,1823752839,임박
20260911,028050,삼성E&A,KOSPI,일반서비스,51000,2860,5.61,51600,51600,43500,-600,-0.21,600,0.21,1.16,174,73556482285,임박
20260911,475230,엔알비,KOSDAQ,금속,11170,841,7.53,11350,11670,8950,-180,-0.214,180,0.214,2.44,594,1232481464,임박
20260911,032580,피델릭스,KOSDAQ,전기전자,5080,504,9.92,5190,5190,4180,-110,-0.218,110,0.218,0.24,992,4039751424,임박
20260911,340810,시선AI,KOSDAQ,IT 서비스,4135,273,6.6,4200,4220,3500,-65,-0.238,65,0.238,1.94,1831,741883317,임박
20260911,036540,SFA반도체,KOSDAQ,전기전자,7040,483,6.86,7160,7180,5380,-120,-0.248,120,0.248,1.1,1035,15735474969,임박
20260911,452430,사피엔반도체,KOSDAQ,전기전자,37200,2699,7.26,37900,38500,26750,-700,-0.259,700,0.259,1.54,185,1149517370,임박
20260911,000430,대원강업,KOSPI,운송장비·부품,4825,207,4.29,4880,4880,4200,-55,-0.266,55,0.266,0.47,2415,1170290385,임박
20260911,417840,저스템,KOSDAQ,기계·장비,15720,1278,8.13,16070,16500,12400,-350,-0.274,350,0.274,2.95,391,14083708568,임박
20260911,058430,포스코스틸리온,KOSPI,금속,4865,284,5.84,4945,4945,4385,-80,-0.282,80,0.282,1.04,1760,1167811722,임박
20260911,225570,넥슨게임즈,KOSDAQ,IT 서비스,11640,489,4.2,11780,11790,10690,-140,-0.286,140,0.286,0.77,1022,2453924702,임박
20260911,405100,큐알티,KOSDAQ,일반서비스,14250,858,6.02,14510,14600,11980,-260,-0.303,260,0.303,0.94,582,1183278505,임박
20260911,377450,리파인,KOSDAQ,IT 서비스,16950,429,2.53,17080,17080,16280,-130,-0.303,130,0.303,0.51,1165,4861789642,임박
20260911,022100,포스코DX,KOSPI,일반서비스,22150,1135,5.12,22500,22500,20600,-350,-0.308,350,0.308,0.31,440,31085164518,임박
20260911,004990,롯데지주,KOSPI,금융,25050,844,3.37,25325,25325,23650,-275,-0.326,275,0.326,0.67,592,2881869178,임박
20260911,004020,현대제철,KOSPI,금속,33600,1669,4.97,34150,34150,29550,-550,-0.33,550,0.33,0.77,299,19504564198,임박
20260911,044490,태웅,KOSDAQ,금속,39350,3133,7.96,40450,41900,30050,-1100,-0.351,1100,0.351,2.46,159,12099626998,임박
20260911,082740,한화엔진,KOSPI,기계·장비,50300,3686,7.33,51700,51700,44300,-1400,-0.38,1400,0.38,1.99,135,30120168422,임박
20260911,316140,우리금융지주,KOSPI,금융,35100,1303,3.71,35600,35600,32600,-500,-0.384,500,0.384,0.98,383,97315382038,임박
20260911,475040,스트라드비젼,KOSDAQ,IT 서비스,3795,359,9.46,3935,4015,2735,-140,-0.39,140,0.39,2.55,1392,6767922243,임박
20260911,004690,삼천리,KOSPI,전기·가스,136900,3682,2.69,138400,138400,129500,-1500,-0.407,1500,0.407,1.58,135,1064160035,임박
20260911,252990,샘씨엔에스,KOSDAQ,전기전자,15780,1308,8.29,16320,16320,12290,-540,-0.413,540,0.413,4.0,382,7333325652,임박
20260911,156100,엘앤케이바이오,KOSDAQ,의료·정밀기기,5450,396,7.27,5620,5620,3835,-170,-0.429,170,0.429,1.24,1262,842433950,임박
20260911,105560,KB금융,KOSPI,금융,177900,6466,3.63,180700,180700,164600,-2800,-0.433,2800,0.433,0.9,77,193824319095,임박
20260911,108380,대양전기공업,KOSDAQ,운송장비·부품,18880,872,4.62,19260,19300,16940,-380,-0.436,380,0.436,1.03,573,783843267,임박
20260911,020150,롯데에너지머티리얼즈,KOSPI,전기전자,42200,3201,7.59,43600,44200,34200,-1400,-0.437,1400,0.437,1.92,156,9808640288,임박
20260911,002030,아세아,KOSPI,일반서비스,221000,12501,5.66,226500,226500,195500,-5500,-0.44,5500,0.44,0.66,39,854807975,임박
20260911,080580,오킨스전자,KOSDAQ,전기전자,21100,1693,8.02,21850,21900,18350,-750,-0.443,750,0.443,0.58,295,7638414543,임박
20260911,140410,메지온,KOSDAQ,일반서비스,72100,4658,6.46,74200,74200,62900,-2100,-0.451,2100,0.451,1.18,107,5427931495,임박
20260911,006120,SK디스커버리,KOSPI,금융,57400,2705,4.71,58700,58700,48000,-1300,-0.481,1300,0.481,0.84,184,1400896642,임박
20260911,035510,신세계 I&C,KOSPI,IT 서비스,16310,676,4.14,16640,16640,12770,-330,-0.488,330,0.488,1.75,739,1626234156,임박
20260911,083650,비에이치아이,KOSDAQ,기계·장비,68400,4686,6.85,70700,70700,57700,-2300,-0.491,2300,0.491,1.2,106,31138080040,임박
20260911,453340,현대그린푸드,KOSPI,유통,18840,601,3.19,19140,19140,18160,-300,-0.499,300,0.499,0.83,831,558109178,임박
20260911,032190,다우데이타,KOSDAQ,유통,20450,800,3.91,20850,20800,19150,-400,-0.5,400,0.5,1.25,625,1212011720,임박
20260911,069260,TKG휴켐스,KOSPI,화학,16430,414,2.52,16640,16650,15990,-210,-0.507,210,0.507,0.93,1207,689278327,임박
